;name;filename;success;BestEnergy
264;228;ligands/228.pdbqt;True;-6.7
265;61;ligands/61.pdbqt;True;-5.2
266;241;ligands/241.pdbqt;True;-5.6
267;86;ligands/86.pdbqt;True;-5.9
268;438;ligands/438.pdbqt;True;-9.1
269;568;ligands/568.pdbqt;True;-5.8
270;849;ligands/849.pdbqt;True;-6.3
271;372;ligands/372.pdbqt;True;-5.4
272;783;ligands/783.pdbqt;True;-6.1
273;368;ligands/368.pdbqt;True;-6.5
274;652;ligands/652.pdbqt;True;-5.9
275;218;ligands/218.pdbqt;True;-6.7
276;381;ligands/381.pdbqt;True;-6.7
277;385;ligands/385.pdbqt;True;-5.3
278;432;ligands/432.pdbqt;True;-6.9
279;65;ligands/65.pdbqt;True;-5.9
280;303;ligands/303.pdbqt;True;-5.4
281;247;ligands/247.pdbqt;True;-6.1
282;476;ligands/476.pdbqt;True;-6.6
283;278;ligands/278.pdbqt;True;-6.5
284;145;ligands/145.pdbqt;True;-5.3
285;819;ligands/819.pdbqt;True;-5.8
286;502;ligands/502.pdbqt;True;-6.3
287;223;ligands/223.pdbqt;True;-6.5
288;572;ligands/572.pdbqt;True;-8.3
289;105;ligands/105.pdbqt;True;-6.9
290;203;ligands/203.pdbqt;True;-6.5
291;308;ligands/308.pdbqt;True;-6.7
292;625;ligands/625.pdbqt;True;-5.5
293;5;ligands/5.pdbqt;True;-6.0
294;713;ligands/713.pdbqt;True;-5.9
295;535;ligands/535.pdbqt;True;-6.8
296;399;ligands/399.pdbqt;True;-6.4
297;564;ligands/564.pdbqt;True;-4.9
298;445;ligands/445.pdbqt;True;-5.9
299;190;ligands/190.pdbqt;True;-5.4
300;424;ligands/424.pdbqt;True;-8.2
301;262;ligands/262.pdbqt;True;-6.4
302;737;ligands/737.pdbqt;True;-5.5
303;539;ligands/539.pdbqt;False;
304;31;ligands/31.pdbqt;True;-7.0
305;7;ligands/7.pdbqt;True;-5.7
306;680;ligands/680.pdbqt;True;-6.5
307;333;ligands/333.pdbqt;True;-9.4
308;188;ligands/188.pdbqt;True;-4.6
309;339;ligands/339.pdbqt;True;-7.0
310;690;ligands/690.pdbqt;True;-7.2
311;2;ligands/2.pdbqt;True;-6.3
312;505;ligands/505.pdbqt;True;-7.0
313;688;ligands/688.pdbqt;True;-7.7
314;396;ligands/396.pdbqt;True;-6.6
315;470;ligands/470.pdbqt;True;-5.4
316;478;ligands/478.pdbqt;True;-5.2
317;747;ligands/747.pdbqt;True;-6.7
318;29;ligands/29.pdbqt;True;-6.0
319;724;ligands/724.pdbqt;True;-6.2
320;429;ligands/429.pdbqt;True;-5.9
321;719;ligands/719.pdbqt;True;-7.0
322;566;ligands/566.pdbqt;True;-5.7
323;626;ligands/626.pdbqt;True;-7.0
324;649;ligands/649.pdbqt;True;-6.5
325;373;ligands/373.pdbqt;True;-6.6
326;239;ligands/239.pdbqt;True;-4.7
327;377;ligands/377.pdbqt;True;-6.6
328;33;ligands/33.pdbqt;True;-5.0
329;598;ligands/598.pdbqt;True;-3.9
330;670;ligands/670.pdbqt;True;-6.5
331;714;ligands/714.pdbqt;True;-6.8
332;437;ligands/437.pdbqt;True;-5.8
333;170;ligands/170.pdbqt;True;-6.2
334;662;ligands/662.pdbqt;True;-6.5
335;292;ligands/292.pdbqt;True;-5.2
336;668;ligands/668.pdbqt;True;-6.7
337;238;ligands/238.pdbqt;True;-5.2
338;80;ligands/80.pdbqt;True;-6.3
339;353;ligands/353.pdbqt;True;-7.5
340;578;ligands/578.pdbqt;True;-6.9
341;658;ligands/658.pdbqt;True;-6.1
342;624;ligands/624.pdbqt;True;-6.1
343;440;ligands/440.pdbqt;True;-5.4
344;149;ligands/149.pdbqt;True;-6.3
345;485;ligands/485.pdbqt;True;-7.1
346;130;ligands/130.pdbqt;True;-5.1
347;723;ligands/723.pdbqt;True;-6.3
348;602;ligands/602.pdbqt;True;-7.7
349;45;ligands/45.pdbqt;True;-5.9
350;374;ligands/374.pdbqt;True;-6.7
351;569;ligands/569.pdbqt;True;-7.7
352;168;ligands/168.pdbqt;True;-5.4
353;768;ligands/768.pdbqt;True;-7.5
354;231;ligands/231.pdbqt;True;-4.9
355;791;ligands/791.pdbqt;False;
356;276;ligands/276.pdbqt;True;-7.0
357;461;ligands/461.pdbqt;True;-6.0
358;314;ligands/314.pdbqt;True;-6.6
359;209;ligands/209.pdbqt;True;-6.8
360;522;ligands/522.pdbqt;True;-5.9
361;679;ligands/679.pdbqt;True;-8.4
362;56;ligands/56.pdbqt;True;-5.9
363;405;ligands/405.pdbqt;True;-6.7
364;279;ligands/279.pdbqt;True;-9.2
365;699;ligands/699.pdbqt;True;-6.3
366;764;ligands/764.pdbqt;True;-6.1
367;537;ligands/537.pdbqt;False;
368;63;ligands/63.pdbqt;True;-5.7
369;697;ligands/697.pdbqt;False;
370;717;ligands/717.pdbqt;True;-6.9
371;567;ligands/567.pdbqt;True;-5.3
372;77;ligands/77.pdbqt;True;-7.0
373;729;ligands/729.pdbqt;True;-5.2
374;687;ligands/687.pdbqt;True;-8.1
375;673;ligands/673.pdbqt;True;-5.7
376;119;ligands/119.pdbqt;True;-5.4
377;795;ligands/795.pdbqt;True;-7.2
378;543;ligands/543.pdbqt;True;-6.5
379;474;ligands/474.pdbqt;True;-7.9
380;172;ligands/172.pdbqt;True;-4.7
381;656;ligands/656.pdbqt;True;-6.2
382;813;ligands/813.pdbqt;True;-5.5
383;847;ligands/847.pdbqt;True;-6.4
384;317;ligands/317.pdbqt;True;-6.6
385;60;ligands/60.pdbqt;True;-6.5
386;250;ligands/250.pdbqt;True;-7.1
387;277;ligands/277.pdbqt;True;-6.2
388;820;ligands/820.pdbqt;True;-7.5
389;8;ligands/8.pdbqt;True;-5.6
390;132;ligands/132.pdbqt;True;-5.8
391;827;ligands/827.pdbqt;True;-8.6
392;401;ligands/401.pdbqt;True;-5.6
393;204;ligands/204.pdbqt;True;-5.6
394;207;ligands/207.pdbqt;True;-5.4
395;689;ligands/689.pdbqt;True;-6.3
396;15;ligands/15.pdbqt;True;-3.6
397;604;ligands/604.pdbqt;True;-8.0
398;304;ligands/304.pdbqt;True;-6.9
399;354;ligands/354.pdbqt;True;-5.9
400;696;ligands/696.pdbqt;True;-9.4
401;126;ligands/126.pdbqt;True;-5.3
402;492;ligands/492.pdbqt;True;-6.2
403;78;ligands/78.pdbqt;True;-5.2
404;362;ligands/362.pdbqt;True;-4.0
405;365;ligands/365.pdbqt;True;-6.3
406;484;ligands/484.pdbqt;True;-7.7
407;259;ligands/259.pdbqt;True;-6.5
408;410;ligands/410.pdbqt;True;-6.8
409;337;ligands/337.pdbqt;True;-7.6
410;775;ligands/775.pdbqt;True;-7.0
411;18;ligands/18.pdbqt;True;-5.6
412;465;ligands/465.pdbqt;True;-6.0
413;495;ligands/495.pdbqt;True;-6.4
414;610;ligands/610.pdbqt;True;-7.2
415;58;ligands/58.pdbqt;True;-6.1
416;167;ligands/167.pdbqt;True;-5.9
417;427;ligands/427.pdbqt;True;-6.1
418;72;ligands/72.pdbqt;True;-5.8
419;700;ligands/700.pdbqt;True;-5.2
420;41;ligands/41.pdbqt;True;-6.0
421;843;ligands/843.pdbqt;True;-7.3
422;159;ligands/159.pdbqt;True;-4.6
423;499;ligands/499.pdbqt;True;-6.3
424;305;ligands/305.pdbqt;True;-6.7
425;443;ligands/443.pdbqt;True;-7.0
426;526;ligands/526.pdbqt;True;-6.7
427;732;ligands/732.pdbqt;False;
428;635;ligands/635.pdbqt;True;-6.4
429;483;ligands/483.pdbqt;True;-5.7
430;491;ligands/491.pdbqt;True;-5.5
431;682;ligands/682.pdbqt;True;-6.4
432;467;ligands/467.pdbqt;True;-5.2
433;469;ligands/469.pdbqt;True;-9.1
434;648;ligands/648.pdbqt;True;-5.3
435;243;ligands/243.pdbqt;True;-5.6
436;181;ligands/181.pdbqt;True;-6.0
437;482;ligands/482.pdbqt;True;-6.2
438;766;ligands/766.pdbqt;True;-7.3
439;545;ligands/545.pdbqt;True;-6.5
440;830;ligands/830.pdbqt;True;-6.1
441;707;ligands/707.pdbqt;False;
442;313;ligands/313.pdbqt;True;-7.6
443;839;ligands/839.pdbqt;True;-7.3
444;818;ligands/818.pdbqt;True;-6.4
445;835;ligands/835.pdbqt;True;-6.2
446;592;ligands/592.pdbqt;True;-6.8
447;115;ligands/115.pdbqt;True;-5.6
448;260;ligands/260.pdbqt;True;-7.4
449;773;ligands/773.pdbqt;True;-6.5
450;155;ligands/155.pdbqt;False;
451;120;ligands/120.pdbqt;True;-5.3
452;382;ligands/382.pdbqt;True;-5.9
453;428;ligands/428.pdbqt;True;-6.6
454;498;ligands/498.pdbqt;True;-5.7
455;763;ligands/763.pdbqt;True;-6.1
456;831;ligands/831.pdbqt;True;-6.5
457;800;ligands/800.pdbqt;True;-7.1
458;282;ligands/282.pdbqt;True;-6.9
459;35;ligands/35.pdbqt;True;-6.4
460;448;ligands/448.pdbqt;True;-4.6
461;842;ligands/842.pdbqt;True;-6.2
462;261;ligands/261.pdbqt;True;-6.4
463;525;ligands/525.pdbqt;True;-5.4
464;316;ligands/316.pdbqt;True;-8.7
465;609;ligands/609.pdbqt;True;-5.2
466;582;ligands/582.pdbqt;True;-6.0
467;730;ligands/730.pdbqt;True;-6.6
468;183;ligands/183.pdbqt;True;-5.2
469;140;ligands/140.pdbqt;True;-9.0
470;810;ligands/810.pdbqt;True;-6.9
471;89;ligands/89.pdbqt;True;-6.2
472;650;ligands/650.pdbqt;True;-5.6
473;803;ligands/803.pdbqt;True;-7.3
474;659;ligands/659.pdbqt;False;
475;739;ligands/739.pdbqt;True;-5.7
476;741;ligands/741.pdbqt;False;
477;298;ligands/298.pdbqt;True;-6.1
478;139;ligands/139.pdbqt;True;-6.1
479;253;ligands/253.pdbqt;True;-7.4
480;367;ligands/367.pdbqt;True;-6.5
481;601;ligands/601.pdbqt;True;-5.7
482;99;ligands/99.pdbqt;True;-5.7
483;531;ligands/531.pdbqt;True;-5.7
484;1;ligands/1.pdbqt;True;-4.6
485;375;ligands/375.pdbqt;True;-6.6
486;142;ligands/142.pdbqt;True;-7.8
487;324;ligands/324.pdbqt;True;-5.4
488;801;ligands/801.pdbqt;True;-5.7
489;799;ligands/799.pdbqt;True;-5.8
490;546;ligands/546.pdbqt;True;-5.7
491;792;ligands/792.pdbqt;True;-6.1
492;733;ligands/733.pdbqt;True;-4.3
493;581;ligands/581.pdbqt;True;-6.8
494;637;ligands/637.pdbqt;True;-5.7
495;480;ligands/480.pdbqt;True;-6.7
496;146;ligands/146.pdbqt;True;-6.0
497;634;ligands/634.pdbqt;True;-5.0
498;389;ligands/389.pdbqt;True;-5.8
499;436;ligands/436.pdbqt;True;-5.7
500;383;ligands/383.pdbqt;True;-7.0
501;283;ligands/283.pdbqt;True;-7.3
502;67;ligands/67.pdbqt;True;-7.0
503;743;ligands/743.pdbqt;False;
504;508;ligands/508.pdbqt;True;-4.2
505;129;ligands/129.pdbqt;True;-5.5
506;21;ligands/21.pdbqt;True;-6.0
507;570;ligands/570.pdbqt;True;-5.2
508;300;ligands/300.pdbqt;True;-5.6
509;613;ligands/613.pdbqt;True;-5.9
510;632;ligands/632.pdbqt;True;-5.8
511;344;ligands/344.pdbqt;True;-6.9
512;653;ligands/653.pdbqt;True;-4.9
513;112;ligands/112.pdbqt;True;-7.3
514;196;ligands/196.pdbqt;True;-4.8
515;587;ligands/587.pdbqt;True;-5.7
516;633;ligands/633.pdbqt;True;-5.8
517;376;ligands/376.pdbqt;True;-6.6
518;59;ligands/59.pdbqt;True;-6.5
519;147;ligands/147.pdbqt;True;-7.4
520;336;ligands/336.pdbqt;True;-7.1
521;39;ligands/39.pdbqt;True;-5.7
522;97;ligands/97.pdbqt;False;
523;459;ligands/459.pdbqt;False;
524;676;ligands/676.pdbqt;True;-5.7
525;838;ligands/838.pdbqt;True;-6.4
526;421;ligands/421.pdbqt;True;-5.8
527;725;ligands/725.pdbqt;True;-5.5
528;579;ligands/579.pdbqt;True;-5.3
529;606;ligands/606.pdbqt;True;-5.7
530;422;ligands/422.pdbqt;True;-6.1
531;716;ligands/716.pdbqt;True;-6.5
532;542;ligands/542.pdbqt;True;-6.0
533;694;ligands/694.pdbqt;True;-7.5
534;769;ligands/769.pdbqt;True;-6.1
535;338;ligands/338.pdbqt;True;-4.5
536;102;ligands/102.pdbqt;True;-6.7
537;672;ligands/672.pdbqt;True;-6.6
538;452;ligands/452.pdbqt;True;-5.4
539;825;ligands/825.pdbqt;True;-4.2
540;178;ligands/178.pdbqt;True;-4.7
